Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,140500.000000,141500.000000,139500.000000,140500.000000,128750.078125,338336
2016-01-14,138500.000000,143500.000000,136500.000000,141000.000000,129208.265625,664829
2016-01-15,141000.000000,142000.000000,136500.000000,138500.000000,126917.335938,568653
2016-01-18,137500.000000,140000.000000,135500.000000,139000.000000,127375.539063,400716
2016-01-19,138000.000000,140000.000000,136000.000000,140000.000000,128291.898438,332956
2016-01-20,139500.000000,140000.000000,135500.000000,136500.000000,125084.609375,544330
2016-01-21,136000.000000,138000.000000,135500.000000,137000.000000,125542.781250,455723
2016-01-22,138000.000000,140500.000000,136500.000000,139000.000000,127375.539063,551671
2016-01-25,140000.000000,140500.000000,136000.000000,137500.000000,126000.976563,543064
2016-01-26,136500.000000,137000.000000,134500.000000,136000.000000,124626.421875,564584
2016-01-27,135500.000000,137000.000000,134500.000000,137000.000000,125542.781250,702981
2016-01-28,135500.000000,136500.000000,134500.000000,135000.000000,123710.054688,480730
2016-01-29,135000.000000,136000.000000,131000.000000,133000.000000,121877.296875,990382
2016-02-01,132000.000000,132500.000000,130500.000000,132500.000000,121419.109375,689972
2016-02-02,131500.000000,132500.000000,129000.000000,129500.000000,118670.015625,594441
2016-02-03,127500.000000,129500.000000,126500.000000,129000.000000,118211.828125,649021
2016-02-04,130000.000000,132500.000000,129500.000000,132500.000000,121419.109375,600523
2016-02-05,132000.000000,133500.000000,131000.000000,133500.000000,122335.500000,513150
2016-02-11,130500.000000,132500.000000,130500.000000,131000.000000,120044.562500,688873
2016-02-12,131500.000000,137500.000000,131000.000000,137000.000000,125542.781250,1264899
2016-02-15,137500.000000,141500.000000,135000.000000,139500.000000,127833.718750,879160
2016-02-16,139500.000000,142500.000000,137500.000000,141000.000000,129208.265625,524822
2016-02-17,142000.000000,147500.000000,141000.000000,147000.000000,134706.500000,772996
2016-02-18,147500.000000,149000.000000,145500.000000,147000.000000,134706.500000,468798
2016-02-19,147000.000000,151000.000000,147000.000000,149000.000000,136539.250000,477553
2016-02-22,147500.000000,148500.000000,146000.000000,147500.000000,135164.687500,273335
2016-02-23,148000.000000,149000.000000,146500.000000,149000.000000,136539.250000,250401
2016-02-24,147500.000000,150000.000000,146500.000000,149000.000000,136539.250000,191286
2016-02-25,149500.000000,153000.000000,145500.000000,147000.000000,134706.500000,490265
2016-02-26,148000.000000,148000.000000,144500.000000,147000.000000,134706.500000,351408
2016-02-29,145500.000000,149000.000000,144500.000000,147500.000000,135164.687500,570117
2016-03-02,150000.000000,150000.000000,148000.000000,150000.000000,137455.609375,539821
2016-03-03,151500.000000,151500.000000,146000.000000,147500.000000,135164.687500,627810
2016-03-04,146000.000000,147500.000000,143500.000000,147500.000000,135164.687500,696287
2016-03-07,147500.000000,147500.000000,145500.000000,146500.000000,134248.328125,317439
2016-03-08,145000.000000,149500.000000,145000.000000,148000.000000,135622.843750,366489
2016-03-09,147000.000000,149500.000000,146500.000000,149500.000000,136997.406250,452965
2016-03-10,149000.000000,150000.000000,148000.000000,148000.000000,135622.843750,690061
2016-03-11,147500.000000,150000.000000,147500.000000,149000.000000,136539.250000,408175
2016-03-14,150000.000000,150500.000000,147000.000000,148500.000000,136081.046875,362075
2016-03-15,148500.000000,149000.000000,146000.000000,147000.000000,134706.500000,309077
2016-03-16,147000.000000,148000.000000,145500.000000,146500.000000,134248.328125,206136
2016-03-17,148000.000000,148500.000000,146000.000000,146500.000000,134248.328125,492380
2016-03-18,148000.000000,150500.000000,147500.000000,150500.000000,137913.796875,769047
2016-03-21,151000.000000,155000.000000,149500.000000,154500.000000,141579.281250,803657
2016-03-22,155500.000000,159000.000000,155000.000000,159000.000000,145702.968750,872121
