Date,Open,High,Low,Close,Adj Close,Volume
2016-02-18,206500.000000,207000.000000,203500.000000,204500.000000,199253.171875,152008
2016-02-19,203500.000000,206500.000000,203500.000000,204500.000000,199253.171875,78322
2016-02-22,205000.000000,205000.000000,200000.000000,201000.000000,195842.968750,107192
2016-02-23,202500.000000,204500.000000,201000.000000,202000.000000,196817.312500,86419
2016-02-24,201500.000000,202000.000000,198500.000000,199500.000000,194381.453125,131830
2016-02-25,199000.000000,200000.000000,196000.000000,198000.000000,192919.937500,163220
2016-02-26,198000.000000,199500.000000,187000.000000,188500.000000,183663.671875,634371
2016-02-29,187500.000000,189500.000000,183500.000000,185500.000000,180740.656250,258898
2016-03-02,187000.000000,189000.000000,182500.000000,185000.000000,180253.484375,276462
2016-03-03,185500.000000,189500.000000,185000.000000,189500.000000,184638.031250,183602
2016-03-04,189500.000000,195000.000000,189000.000000,193500.000000,188535.406250,182706
2016-03-07,194000.000000,194500.000000,191500.000000,192500.000000,187561.062500,80600
2016-03-08,192500.000000,193000.000000,189000.000000,190000.000000,185125.203125,80359
2016-03-09,189000.000000,191000.000000,189000.000000,189000.000000,184150.859375,56162
2016-03-10,189500.000000,192500.000000,187500.000000,187500.000000,182689.343750,205456
2016-03-11,188500.000000,192500.000000,188000.000000,192000.000000,187073.875000,159307
2016-03-14,194000.000000,194500.000000,192500.000000,193500.000000,188535.406250,102746
2016-03-15,193500.000000,194000.000000,191000.000000,192000.000000,187073.875000,57000
2016-03-16,192000.000000,193000.000000,186500.000000,186500.000000,181715.000000,182061
2016-03-17,187000.000000,189500.000000,186500.000000,187000.000000,182202.171875,130469
2016-03-18,187500.000000,189000.000000,186500.000000,189000.000000,184150.859375,178523
2016-03-21,189000.000000,190500.000000,187000.000000,187500.000000,182689.343750,77090
2016-03-22,188000.000000,191500.000000,188000.000000,191500.000000,186586.703125,125261
2016-03-23,191000.000000,191500.000000,187500.000000,188000.000000,183176.500000,87189
2016-03-24,187500.000000,189000.000000,185500.000000,186000.000000,181227.828125,103991
2016-03-25,185000.000000,186500.000000,170000.000000,172500.000000,168074.203125,874279
2016-03-28,171000.000000,174000.000000,170000.000000,172500.000000,168074.203125,188882
2016-03-29,172500.000000,173500.000000,172000.000000,173000.000000,168561.375000,113980
2016-03-30,174500.000000,180000.000000,174500.000000,178500.000000,173920.250000,213729
2016-03-31,179000.000000,180500.000000,174000.000000,175000.000000,170510.046875,152624
2016-04-01,177000.000000,177000.000000,174000.000000,174000.000000,169535.718750,108303
2016-04-04,175000.000000,176000.000000,170000.000000,171500.000000,167099.843750,118877
2016-04-05,170500.000000,171500.000000,161000.000000,163000.000000,158817.937500,460881
2016-04-06,162000.000000,164000.000000,158000.000000,160000.000000,155894.906250,341731
2016-04-07,158500.000000,159500.000000,154000.000000,155500.000000,151510.359375,481298
2016-04-08,155000.000000,163500.000000,155000.000000,162000.000000,157843.593750,398429
2016-04-11,162000.000000,164000.000000,159000.000000,159500.000000,155407.718750,141865
2016-04-12,159500.000000,164000.000000,159500.000000,163500.000000,159305.109375,132545
2016-04-14,164000.000000,165500.000000,162500.000000,162500.000000,158330.765625,170358
2016-04-15,163500.000000,169500.000000,162500.000000,168500.000000,164176.812500,222684
2016-04-18,166000.000000,167500.000000,163000.000000,163500.000000,159305.109375,147644
2016-04-19,164500.000000,166500.000000,164000.000000,164500.000000,160279.453125,100014
2016-04-20,167000.000000,167000.000000,163000.000000,163500.000000,159305.109375,112888
2016-04-21,164000.000000,165000.000000,161500.000000,163500.000000,159305.109375,100294
2016-04-22,162500.000000,164000.000000,161500.000000,162500.000000,158330.765625,70471
2016-04-25,162000.000000,164000.000000,161500.000000,162500.000000,158330.765625,79679
2016-04-26,163500.000000,172000.000000,163500.000000,170000.000000,165638.328125,305618
2016-04-27,170500.000000,172000.000000,166000.000000,166000.000000,161740.968750,148926
2016-04-28,167500.000000,170500.000000,167000.000000,168000.000000,163689.656250,141104
2016-04-29,170500.000000,170500.000000,168000.000000,170500.000000,166125.500000,131655
2016-05-02,171500.000000,172000.000000,167000.000000,168000.000000,163689.656250,106847
2016-05-03,169500.000000,172500.000000,169000.000000,171000.000000,166612.671875,132733
2016-05-04,170000.000000,174000.000000,169500.000000,172500.000000,168074.203125,161646
2016-05-09,173000.000000,175000.000000,171500.000000,173000.000000,168561.375000,113564
2016-05-10,171000.000000,174500.000000,171000.000000,174000.000000,169535.718750,82039
2016-05-11,175000.000000,176000.000000,172000.000000,172000.000000,167587.031250,125008
2016-05-12,171500.000000,174500.000000,170000.000000,173000.000000,168561.375000,95578
2016-05-13,173000.000000,180000.000000,173000.000000,179000.000000,174407.421875,220201
2016-05-16,178000.000000,179500.000000,176000.000000,179500.000000,174894.593750,85427
2016-05-17,180000.000000,182000.000000,176500.000000,180000.000000,175381.765625,129548
2016-05-18,179000.000000,183500.000000,178500.000000,183000.000000,178304.796875,139093
2016-05-19,183500.000000,183500.000000,176000.000000,178500.000000,173920.250000,179291
2016-05-20,178000.000000,181000.000000,176500.000000,180500.000000,175868.937500,89183
2016-05-23,182500.000000,184000.000000,179000.000000,183500.000000,178791.984375,96556
2016-05-24,183000.000000,184500.000000,181500.000000,181500.000000,176843.265625,106089
2016-05-25,183000.000000,185000.000000,182000.000000,183000.000000,178304.796875,86038
2016-05-26,184000.000000,184500.000000,182000.000000,182500.000000,177817.625000,61487
2016-05-27,182500.000000,183500.000000,180500.000000,181500.000000,176843.265625,97301
2016-05-30,181500.000000,184000.000000,179500.000000,183500.000000,178791.984375,86940
2016-05-31,182000.000000,185000.000000,182000.000000,183000.000000,178304.796875,345463
2016-06-01,181500.000000,182500.000000,174000.000000,174000.000000,169535.718750,275313
2016-06-02,172000.000000,172500.000000,164000.000000,167000.000000,162715.312500,376442
2016-06-03,148000.000000,161500.000000,142500.000000,149000.000000,145177.125000,1220701
2016-06-07,150000.000000,151500.000000,142500.000000,150500.000000,146638.640625,863541
2016-06-08,152500.000000,157000.000000,150500.000000,152500.000000,148587.328125,487302
2016-06-09,151500.000000,153500.000000,145000.000000,146000.000000,142254.093750,528901
2016-06-10,147000.000000,150500.000000,145000.000000,149500.000000,145664.296875,384361
2016-06-13,151500.000000,155000.000000,150000.000000,151000.000000,147125.828125,341674
2016-06-14,151000.000000,156000.000000,150500.000000,155500.000000,151510.359375,278535
2016-06-15,159500.000000,161000.000000,156500.000000,158000.000000,153946.218750,281619
2016-06-16,158000.000000,158000.000000,151000.000000,152000.000000,148100.156250,231089
2016-06-17,151000.000000,153000.000000,147000.000000,149000.000000,145177.125000,217696
2016-06-20,150500.000000,154000.000000,150000.000000,152500.000000,148587.328125,129038
2016-06-21,148500.000000,150500.000000,147000.000000,150500.000000,146638.640625,220235
2016-06-22,150500.000000,150500.000000,146500.000000,147500.000000,143715.609375,145480
2016-06-23,148000.000000,149500.000000,147000.000000,147000.000000,143228.437500,107467
2016-06-24,148500.000000,148500.000000,137000.000000,138500.000000,134946.531250,435046
2016-06-27,133500.000000,136500.000000,132000.000000,135500.000000,132023.484375,288345
2016-06-28,134500.000000,138000.000000,134500.000000,137500.000000,133972.187500,203583
2016-06-29,138500.000000,139500.000000,137000.000000,138000.000000,134459.359375,177451
2016-06-30,139500.000000,148500.000000,139500.000000,143500.000000,139818.250000,426267
2016-07-01,143500.000000,144500.000000,142000.000000,143000.000000,139331.078125,107268
2016-07-04,142000.000000,144000.000000,141500.000000,142000.000000,138356.718750,112548
2016-07-05,141500.000000,142000.000000,137500.000000,140000.000000,136408.031250,201996
2016-07-06,140000.000000,141500.000000,135500.000000,136500.000000,132997.828125,150276
2016-07-07,137500.000000,139500.000000,137000.000000,137000.000000,133485.015625,108503
2016-07-08,138500.000000,141500.000000,138000.000000,140500.000000,136895.218750,175321
2016-07-11,142500.000000,144500.000000,141000.000000,143000.000000,139331.078125,124152
2016-07-12,143500.000000,143500.000000,141500.000000,143000.000000,139331.078125,76568
2016-07-13,143000.000000,145000.000000,142500.000000,143000.000000,139331.078125,93927
2016-07-14,144000.000000,150000.000000,142500.000000,149500.000000,145664.296875,237359
