Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,172000.000000,182500.000000,172000.000000,181500.000000,179052.468750,52595
2015-12-30,181500.000000,185500.000000,179500.000000,183000.000000,180532.250000,32166
2016-01-04,185500.000000,190500.000000,185500.000000,186500.000000,183985.046875,52211
2016-01-05,184500.000000,194500.000000,184500.000000,194500.000000,191877.171875,74132
2016-01-06,197500.000000,223500.000000,195000.000000,223500.000000,220486.109375,232947
2016-01-07,223000.000000,243000.000000,216500.000000,226500.000000,223445.656250,267270
2016-01-08,219000.000000,250000.000000,218000.000000,249500.000000,246135.500000,347628
2016-01-11,249500.000000,256500.000000,226500.000000,231000.000000,227884.968750,237297
2016-01-12,233500.000000,235000.000000,221000.000000,224000.000000,220979.375000,137334
2016-01-13,225000.000000,231500.000000,223000.000000,231000.000000,227884.968750,79203
2016-01-14,223500.000000,226000.000000,217500.000000,224500.000000,221472.625000,126637
2016-01-15,227500.000000,233000.000000,219000.000000,225000.000000,221965.890625,112061
2016-01-18,221000.000000,233500.000000,220500.000000,229500.000000,226405.203125,92878
2016-01-19,229500.000000,234000.000000,223500.000000,232500.000000,229364.734375,102972
2016-01-20,233000.000000,233000.000000,220500.000000,222500.000000,219499.593750,94176
2016-01-21,224000.000000,227500.000000,217500.000000,220000.000000,217033.312500,76904
2016-01-22,222500.000000,225500.000000,217500.000000,222500.000000,219499.593750,58619
2016-01-25,223000.000000,229000.000000,222000.000000,223500.000000,220486.109375,56617
2016-01-26,223500.000000,230500.000000,222000.000000,228000.000000,224925.421875,104467
2016-01-27,232500.000000,234500.000000,220000.000000,222500.000000,219499.593750,91909
2016-01-28,221000.000000,224500.000000,217500.000000,220000.000000,217033.312500,43137
2016-01-29,220000.000000,220000.000000,208000.000000,214000.000000,211114.218750,104749
2016-02-01,215000.000000,222500.000000,215000.000000,222500.000000,219499.593750,56255
2016-02-02,221500.000000,222500.000000,215500.000000,216000.000000,213087.234375,45907
2016-02-03,215000.000000,221500.000000,214500.000000,220000.000000,217033.312500,46737
2016-02-04,222500.000000,222500.000000,197000.000000,201000.000000,198289.515625,123650
2016-02-05,205500.000000,213000.000000,204000.000000,209000.000000,206181.640625,85372
2016-02-11,201000.000000,204500.000000,191000.000000,193500.000000,190890.656250,108566
2016-02-12,189000.000000,192000.000000,172500.000000,176500.000000,174119.906250,196754
2016-02-15,180000.000000,186000.000000,176500.000000,182500.000000,180038.984375,83382
2016-02-16,183000.000000,191000.000000,183000.000000,185000.000000,182505.281250,76572
